map,site,draw,minTTC,realizedPET,clearanceM,revealToConflictS,severity,trace
easterbrook-discovery-school,09561123f54cf3fe,draw-002,2.95,1.98,0.355,2.23,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/09561123f54cf3fe/draw-002.trace.json.gz
easterbrook-discovery-school,09561123f54cf3fe,draw-001,2.701,2.12,0.421,2.061,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/09561123f54cf3fe/draw-001.trace.json.gz
easterbrook-discovery-school,09561123f54cf3fe,draw-004,2.693,2.02,0.533,2.053,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/09561123f54cf3fe/draw-004.trace.json.gz
easterbrook-discovery-school,09561123f54cf3fe,draw-003,2.325,1.88,0.474,1.785,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/09561123f54cf3fe/draw-003.trace.json.gz
easterbrook-discovery-school,09561123f54cf3fe,draw-005,2.301,1.86,0.58,1.781,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/09561123f54cf3fe/draw-005.trace.json.gz
easterbrook-discovery-school,09561123f54cf3fe,draw-000,2.337,1.82,0.312,1.797,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/09561123f54cf3fe/draw-000.trace.json.gz
easterbrook-discovery-school,4316971928f594ea,draw-002,2.242,1.74,0.688,1.802,high,/tmp/verify-expB-v4/easterbrook-discovery-school/4316971928f594ea/draw-002.trace.json.gz
easterbrook-discovery-school,4316971928f594ea,draw-001,2.45,1.88,0.72,1.89,high,/tmp/verify-expB-v4/easterbrook-discovery-school/4316971928f594ea/draw-001.trace.json.gz
easterbrook-discovery-school,4316971928f594ea,draw-004,2.303,1.84,0.866,1.783,high,/tmp/verify-expB-v4/easterbrook-discovery-school/4316971928f594ea/draw-004.trace.json.gz
easterbrook-discovery-school,4316971928f594ea,draw-003,2.275,1.8,0.756,1.795,high,/tmp/verify-expB-v4/easterbrook-discovery-school/4316971928f594ea/draw-003.trace.json.gz
easterbrook-discovery-school,4316971928f594ea,draw-005,2.717,2.02,0.986,1.997,high,/tmp/verify-expB-v4/easterbrook-discovery-school/4316971928f594ea/draw-005.trace.json.gz
easterbrook-discovery-school,4316971928f594ea,draw-000,2.08,1.58,0.549,1.62,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/4316971928f594ea/draw-000.trace.json.gz
easterbrook-discovery-school,aa4390236a57827c,draw-002,0.204,2.04,0.286,4.804,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/aa4390236a57827c/draw-002.trace.json.gz
easterbrook-discovery-school,aa4390236a57827c,draw-001,2.733,2.1,0.428,2.013,severe,/tmp/verify-expB-v4/easterbrook-discovery-school/aa4390236a57827c/draw-001.trace.json.gz
